Path,Annotation
Data\Images\Test\R06-137-S00-00.PNG,The doorman turned his attention
Data\Images\Test\R06-137-S00-01.PNG,to the next red-eyed emerger from the
Data\Images\Test\R06-137-S00-02.PNG,dark; and we went an together to
Data\Images\Test\R06-137-S00-03.PNG,"the shakian, the children silent because"
Data\Images\Test\R06-137-S00-04.PNG,of the cruelty of the world.
Data\Images\Test\R06-137-S01-00.PNG,Finally Catherine
Data\Images\Test\R06-137-S01-01.PNG,"said, her eyes wet again:"
Data\Images\Test\R06-137-S02-00.PNG,ll think its all
Data\Images\Test\R06-137-S02-01.PNG,"absolutely beastly, and I can't bear to think"
Data\Images\Test\R06-137-S02-02.PNG,about it.'
Data\Images\Test\R06-137-S03-00.PNG,And Philip said:
Data\Images\Test\R06-137-S04-00.PNG,But we've got
Data\Images\Test\R06-137-S04-01.PNG,"to think about it, don't you see, because"
Data\Images\Test\R06-137-S04-02.PNG,"if we don't it'll just go on and on, don't"
Data\Images\Test\R06-137-S04-03.PNG,you see?'
